Mach,Alpha,CD,CD Power-Off,CD Power-On,CL,CP,CP (0 to 4 deg),Reynolds Number
0.01,0,0.5242402393288034284788013421,0.524240239,0.506900844,0,141.84902162243804688858781604,141.84902162243804688858781604,1193631
0.02,0,0.5142710926835867746676961825,0.514271093,0.496931697,0,141.84902162243804688858781604,141.84902162243804688858781604,2387262
0.03,0,0.4967616226745887266823311421,0.496761623,0.479422227,0,141.84902162243804688858781604,141.84902162243804688858781604,3580892
0.04,0,0.4819410657090677212982200381,0.481941066,0.46460167,0,141.84902162243804688858781604,141.84902162243804688858781604,4774523
0.05,0,0.4697434027825749381109444047,0.469743403,0.452404007,0,141.84902162243804688858781604,141.84902162243804688858781604,5968154
0.06,0,0.4595568414579696794170884856,0.459556841,0.442217446,0,141.84902162243804688858781604,141.84902162243804688858781604,7161784
0.07,0,0.4508915453620715009037165681,0.450891545,0.43355215,0,141.84902162243804688858781604,141.84902162243804688858781604,8355415
0.08,0,0.4456327557012582985598854703,0.445632756,0.42829336,0,141.84902162243804688858781604,141.84902162243804688858781604,9549046
0.09,0,0.4466771727211064065911859625,0.446677173,0.429337777,0,141.84902162243804688858781604,141.84902162243804688858781604,10742680
0.1,0,0.4468679309054413798716947907,0.446867931,0.429528535,0,141.84902162243804688858781604,141.84902162243804688858781604,11936310
0.11,0,0.4465093328647500356545602130,0.446509333,0.429169937,0,141.84902162243804688858781604,141.84902162243804688858781604,13129940
0.12,0,0.4457910022027098042208704224,0.445791002,0.428451606,0,141.84902162243804688858781604,141.84902162243804688858781604,14323570
0.13,0,0.4448352986233065469855592292,0.444835299,0.427495903,0,141.84902162243804688858781604,141.84902162243804688858781604,15517200
0.14,0,0.4437233589662004678540948152,0.443723359,0.426383963,0,141.84902162243804688858781604,141.84902162243804688858781604,16710830
0.15,0,0.4425102248935670864726634188,0.442510225,0.425170829,0,141.84902162243804688858781604,141.84902162243804688858781604,17904460
0.16,0,0.4412338741649283803571695352,0.441233874,0.423894478,0,141.84902162243804688858781604,141.84902162243804688858781604,19098090
0.17,0,0.4399208191747052938113385191,0.439920819,0.422581423,0,141.84902162243804688858781604,141.84902162243804688858781604,20291720
0.18,0,0.4385898335157462106343920182,0.438589834,0.421250438,0,141.84902162243804688858781604,141.84902162243804688858781604,21485350
0.19,0,0.4372542694585820748191542840,0.437254269,0.419914874,0,141.84902162243804688858781604,141.84902162243804688858781604,22678980
0.2,0,0.4359235916126935656037002081,0.435923592,0.418584196,0,141.84902162243804688858781604,141.84902162243804688858781604,23872610
0.21,0,0.4346045700727264467848673356,0.43460457,0.417265174,0,141.84902162243804688858781604,141.84902162243804688858781604,25066240
0.22,0,0.4333019870814491697020826524,0.433301987,0.415962591,0,141.84902162243804688858781604,141.84902162243804688858781604,26259880
0.23,0,0.4320191615330973897536338247,0.432019162,0.414679766,0,141.84902162243804688858781604,141.84902162243804688858781604,27453510
0.24,0,0.4307583902156228852415357473,0.43075839,0.413418994,0,141.84902162243804688858781604,141.84902162243804688858781604,28647140
0.25,0,0.4295211012855931356969444756,0.429521101,0.412181706,0,141.84902162243804688858781604,141.84902162243804688858781604,29840770
