Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP (0 to 4 deg),Reynolds Number
0.01,0,0.3601951325075347412766175250,0.360195132507535,0.360195132507535,0.360195132507535,0.360195132507535,0,0,0,0,10.758240473030394,85.68318538634856129546085295,85.68318538634856129546085295,716048.2
0.02,0,0.3612832952461785030266574509,0.361283295246178,0.361283295246178,0.361283295246178,0.361283295246178,0,0,0,0,10.758240473030394,85.68318538634856129546085295,85.68318538634856129546085295,1432096
0.03,0,0.3520620001435805770184315333,0.352062000143581,0.352062000143581,0.352062000143581,0.352062000143581,0,0,0,0,10.758240473030394,85.68318538634856129546085295,85.68318538634856129546085295,2148145
0.04,0,0.3432410471375846901640766814,0.343241047137585,0.343241047137585,0.343241047137585,0.343241047137585,0,0,0,0,10.758240473030394,85.68318538634856129546085295,85.68318538634856129546085295,2864193
0.05,0,0.3356662545159381240286280069,0.335666254515938,0.335666254515938,0.335666254515938,0.335666254515938,0,0,0,0,10.758240473030394,85.68318538634856129546085295,85.68318538634856129546085295,3580242
0.06,0,0.3292087425882618097634370943,0.329208742588262,0.329208742588262,0.329208742588262,0.329208742588262,0,0,0,0,10.758240473030394,85.68318538634856129546085295,85.68318538634856129546085295,4296290
0.07,0,0.3236518251223366792611352651,0.323651825122337,0.323651825122337,0.323651825122337,0.323651825122337,0,0,0,0,10.758240473030394,85.68318538634856129546085295,85.68318538634856129546085295,5012338
0.08,0,0.3178985490882169794051127663,0.317898549088217,0.317898549088217,0.317898549088217,0.317898549088217,0,0,0,0,10.758240473030394,85.68318538634856129546085295,85.68318538634856129546085295,5728386
0.09,0,0.3217210636161720513991322620,0.321721063616172,0.321721063616172,0.321721063616172,0.321721063616172,0,0,0,0,10.758240473030394,85.68318538634856129546085295,85.68318538634856129546085295,6444434
0.10,0,0.3243262046273251869774878033,0.324326204627325,0.324326204627325,0.324326204627325,0.324326204627325,0,0,0,0,10.758240473030394,85.68318538634856129546085295,85.68318538634856129546085295,7160483
0.11,0,0.3260970222488574083945446844,0.326097022248857,0.326097022248857,0.326097022248857,0.326097022248857,0,0,0,0,10.758240473030394,85.68318538634856129546085295,85.68318538634856129546085295,7876531
0.12,0,0.3272793735945158278256038396,0.327279373594516,0.327279373594516,0.327279373594516,0.327279373594516,0,0,0,0,10.758240473030394,85.68318538634856129546085295,85.68318538634856129546085295,8592579
0.13,0,0.3280370616440786453284512024,0.328037061644079,0.328037061644079,0.328037061644079,0.328037061644079,0,0,0,0,10.758240473030394,85.68318538634856129546085295,85.68318538634856129546085295,9308627
0.14,0,0.3284825875993702651915216111,0.32848258759937,0.32848258759937,0.32848258759937,0.32848258759937,0,0,0,0,10.758240473030394,85.68318538634856129546085295,85.68318538634856129546085295,10024680
0.15,0,0.3286952686996362196235473903,0.328695268699636,0.328695268699636,0.328695268699636,0.328695268699636,0,0,0,0,10.758240473030394,85.68318538634856129546085295,85.68318538634856129546085295,10740720
0.16,0,0.3287322047959205715184856112,0.328732204795921,0.328732204795921,0.328732204795921,0.328732204795921,0,0,0,0,10.758240473030394,85.68318538634856129546085295,85.68318538634856129546085295,11456770
0.17,0,0.3286353203808930032704966800,0.328635320380893,0.328635320380893,0.328635320380893,0.328635320380893,0,0,0,0,10.758240473030394,85.68318538634856129546085295,85.68318538634856129546085295,12172820
0.18,0,0.3284358526843239726327950958,0.328435852684324,0.328435852684324,0.328435852684324,0.328435852684324,0,0,0,0,10.758240473030394,85.68318538634856129546085295,85.68318538634856129546085295,12888870
0.19,0,0.3281573953476850899635055000,0.328157395347685,0.328157395347685,0.328157395347685,0.328157395347685,0,0,0,0,10.758240473030394,85.68318538634856129546085295,85.68318538634856129546085295,13604920
0.20,0,0.3278180128494004177077165836,0.3278180128494,0.3278180128494,0.3278180128494,0.3278180128494,0,0,0,0,10.758240473030394,85.68318538634856129546085295,85.68318538634856129546085295,14320970
0.21,0,0.3274316571835416675379067699,0.327431657183542,0.327431657183542,0.327431657183542,0.327431657183542,0,0,0,0,10.758240473030394,85.68318538634856129546085295,85.68318538634856129546085295,15037010
0.22,0,0.3270092004051744080787206391,0.327009200405174,0.327009200405174,0.327009200405174,0.327009200405174,0,0,0,0,10.758240473030394,85.68318538634856129546085295,85.68318538634856129546085295,15753060
0.23,0,0.3265592168871556356129588811,0.326559216887156,0.326559216887156,0.326559216887156,0.326559216887156,0,0,0,0,10.758240473030394,85.68318538634856129546085295,85.68318538634856129546085295,16469110
0.24,0,0.3260884700948530779439718260,0.326088470094853,0.326088470094853,0.326088470094853,0.326088470094853,0,0,0,0,10.758240473030394,85.68318538634856129546085295,85.68318538634856129546085295,17185160
0.25,0,0.3256023205258697080466918280,0.32560232052587,0.32560232052587,0.32560232052587,0.32560232052587,0,0,0,0,10.758240473030394,85.68318538634856129546085295,85.68318538634856129546085295,17901210
0.26,0,0.3252600225777291743051260078,0.325260022577729,0.325260022577729,0.325260022577729,0.325260022577729,0,0,0,0,10.758240473030394,85.68318538634856129546085295,85.68318538634856129546085295,18617250
0.27,0,0.3249110875791520577773553285,0.324911087579152,0.324911087579152,0.324911087579152,0.324911087579152,0,0,0,0,10.758240473030394,85.68318538634856129546085295,85.68318538634856129546085295,19333300
0.28,0,0.3245581036476728002703852225,0.324558103647673,0.324558103647673,0.324558103647673,0.324558103647673,0,0,0,0,10.758240473030394,85.68318538634856129546085295,85.68318538634856129546085295,20049350
0.29,0,0.3242031468043102217586941567,0.32420314680431,0.32420314680431,0.32420314680431,0.32420314680431,0,0,0,0,10.758240473030394,85.68318538634856129546085295,85.68318538634856129546085295,20765400
0.30,0,0.3238478714630109645701204127,0.323847871463011,0.323847871463011,0.323847871463011,0.323847871463011,0,0,0,0,10.758240473030394,85.68318538634856129546085295,85.68318538634856129546085295,21481450
0.31,0,0.3234936425808173921898315228,0.323493642580817,0.323493642580817,0.323493642580817,0.323493642580817,0,0,0,0,10.758240473030394,85.68318538634856129546085295,85.68318538634856129546085295,22197500
0.32,0,0.3231415285533338659115995885,0.323141528553334,0.323141528553334,0.323141528553334,0.323141528553334,0,0,0,0,10.758240473030394,85.68318538634856129546085295,85.68318538634856129546085295,22913540
0.33,0,0.3227924038751254085942284164,0.322792403875125,0.322792403875125,0.322792403875125,0.322792403875125,0,0,0,0,10.758240473030394,85.68318538634856129546085295,85.68318538634856129546085295,23629590
0.34,0,0.3224469548201792093673288863,0.322446954820179,0.322446954820179,0.322446954820179,0.322446954820179,0,0,0,0,10.758240473030394,85.68318538634856129546085295,85.68318538634856129546085295,24345640
0.35,0,0.3221057513303428600854901844,0.322105751330343,0.322105751330343,0.322105751330343,0.322105751330343,0,0,0,0,10.758240473030394,85.68318538634856129546085295,85.68318538634856129546085295,25061690
0.36,0,0.3217692298041772448716329362,0.321769229804177,0.321769229804177,0.321769229804177,0.321769229804177,0,0,0,0,10.758240473030394,85.68318538634856129546085295,85.68318538634856129546085295,25777740
0.37,0,0.3214377182726645120087683975,0.321437718272665,0.321437718272665,0.321437718272665,0.321437718272665,0,0,0,0,10.758240473030394,85.68318538634856129546085295,85.68318538634856129546085295,26493790
0.38,0,0.3211114860660145038335863252,0.321111486066014,0.321111486066014,0.321111486066014,0.321111486066014,0,0,0,0,10.758240473030394,85.68318538634856129546085295,85.68318538634856129546085295,27209830
0.39,0,0.3207907429023623582194756333,0.320790742902362,0.320790742902362,0.320790742902362,0.320790742902362,0,0,0,0,10.758240473030394,85.68318538634856129546085295,85.68318538634856129546085295,27925880
0.40,0,0.3204756087219684416723516383,0.320475608721968,0.320475608721968,0.320475608721968,0.320475608721968,0,0,0,0,10.758240473030394,85.68318538634856129546085295,85.68318538634856129546085295,28641930
0.41,0,0.3201661802704833882041113914,0.320166180270483,0.320166180270483,0.320166180270483,0.320166180270483,0,0,0,0,10.758240473030394,85.68318538634856129546085295,85.68318538634856129546085295,29357980
0.42,0,0.3198625337275010831158141131,0.319862533727501,0.319862533727501,0.319862533727501,0.319862533727501,0,0,0,0,10.758240473030394,85.68318538634856129546085295,85.68318538634856129546085295,30074030
0.43,0,0.3195646874064670954023406317,0.319564687406467,0.319564687406467,0.319564687406467,0.319564687406467,0,0,0,0,10.758240473030394,85.68318538634856129546085295,85.68318538634856129546085295,30790080
0.44,0,0.3192726706061097550612049132,0.31927267060611,0.31927267060611,0.31927267060611,0.31927267060611,0,0,0,0,10.758240473030394,85.68318538634856129546085295,85.68318538634856129546085295,31506120
0.45,0,0.3189864301809070283951639452,0.318986430180907,0.318986430180907,0.318986430180907,0.318986430180907,0,0,0,0,10.758240473030394,85.68318538634856129546085295,85.68318538634856129546085295,32222170
0.46,0,0.3187059465263757371484465477,0.318705946526376,0.318705946526376,0.318705946526376,0.318705946526376,0,0,0,0,10.758240473030394,85.68318538634856129546085295,85.68318538634856129546085295,32938220
0.47,0,0.3184311903868825002454499179,0.318431190386883,0.318431190386883,0.318431190386883,0.318431190386883,0,0,0,0,10.758240473030394,85.68318538634856129546085295,85.68318538634856129546085295,33654270
0.48,0,0.3181620599435075133960938136,0.318162059943508,0.318162059943508,0.318162059943508,0.318162059943508,0,0,0,0,10.758240473030394,85.68318538634856129546085295,85.68318538634856129546085295,34370320
0.49,0,0.3178985336730791138107778078,0.317898533673079,0.317898533673079,0.317898533673079,0.317898533673079,0,0,0,0,10.758240473030394,85.68318538634856129546085295,85.68318538634856129546085295,35086360
0.50,0,0.3176404977068043987752483843,0.317640497706804,0.317640497706804,0.317640497706804,0.317640497706804,0,0,0,0,10.758240473030394,85.68318538634856129546085295,85.68318538634856129546085295,35802410
0.51,0,0.3173879087773863447195715334,0.317387908777386,0.317387908777386,0.317387908777386,0.317387908777386,0,0,0,0,10.758240473030394,85.68318538634856129546085295,85.68318538634856129546085295,36518460
0.52,0,0.3171406383145437364362123625,0.317140638314544,0.317140638314544,0.317140638314544,0.317140638314544,0,0,0,0,10.758240473030394,85.68318538634856129546085295,85.68318538634856129546085295,37234510
0.53,0,0.3168986261093480353088578811,0.316898626109348,0.316898626109348,0.316898626109348,0.316898626109348,0,0,0,0,10.758240473030394,85.68318538634856129546085295,85.68318538634856129546085295,37950560
0.54,0,0.3166617791268690581520816307,0.316661779126869,0.316661779126869,0.316661779126869,0.316661779126869,0,0,0,0,10.758240473030394,85.68318538634856129546085295,85.68318538634856129546085295,38666610
0.55,0,0.3164299869408027233079964823,0.316429986940803,0.316429986940803,0.316429986940803,0.316429986940803,0,0,0,0,10.758240473030394,85.68318538634856129546085295,85.68318538634856129546085295,39382660
0.56,0,0.3162031750224938582771196178,0.316203175022494,0.316203175022494,0.316203175022494,0.316203175022494,0,0,0,0,10.758240473030394,85.68318538634856129546085295,85.68318538634856129546085295,40098700
0.57,0,0.3159812192092352549451318479,0.315981219209235,0.315981219209235,0.315981219209235,0.315981219209235,0,0,0,0,10.758240473030394,85.68318538634856129546085295,85.68318538634856129546085295,40814750
